Lens Mag,Micron Per Pixel,Scale in microns,High Resolution
20x_LM,0.7142857,20,FALSE
10x_LM,1.3618968,40,FALSE
50x_S,0.27777777,20,FALSE
100x_im,0.119047619,10,FALSE
10x_LM,0.67998069,50,TRUE
20x_LM,0.333333333,10,TRUE
50x_S,0.135135135,5,TRUE
100x_im,0.058479532,5,TRUE
4Xwis2,1.298701299,40,FALSE
20Xwis2,0.411946447,20,FALSE
10Xwis2,1.159958241,40,FALSE
